=== cf top-up Wed Jun 10 16:52:10 EDT 2026 ===
Streaming OwensLab/CommunityForensics-Small (split=train)...
Resuming — 8624 images from 227 generators already on disk.

CommunityForensics: 0img [00:00, ?img/s]
CommunityForensics: 1img [00:36, 36.66s/img]
CommunityForensics: 2img [00:37, 15.42s/img]
CommunityForensics: 4img [00:37,  5.80s/img]
CommunityForensics: 4196img [01:43, 283.38img/s]
CommunityForensics: 4225img [01:43, 280.60img/s]
CommunityForensics: 4257img [01:43, 275.42img/s]
CommunityForensics: 4293img [01:43, 297.83img/s]
CommunityForensics: 4324img [01:44, 299.96img/s]
CommunityForensics: 4355img [01:44, 282.91img/s]
CommunityForensics: 4384img [01:44, 253.17img/s]
CommunityForensics: 4414img [01:44, 261.36img/s]
CommunityForensics: 4441img [01:44, 253.29img/s]
CommunityForensics: 4472img [01:44, 265.55img/s]
CommunityForensics: 4503img [01:44, 277.34img/s]
CommunityForensics: 4532img [01:44, 277.25img/s]
CommunityForensics: 4568img [01:44, 297.99img/s]
CommunityForensics: 4599img [01:45, 216.06img/s]
CommunityForensics: 4624img [01:45, 222.31img/s]
CommunityForensics: 4657img [01:45, 247.09img/s]
CommunityForensics: 4684img [01:45, 238.01img/s]
CommunityForensics: 4710img [01:45, 227.99img/s]
CommunityForensics: 4741img [01:45, 248.90img/s]
CommunityForensics: 4768img [01:45, 204.22img/s]
CommunityForensics: 4791img [01:46, 159.85img/s]
CommunityForensics: 4830img [01:46, 206.26img/s]
CommunityForensics: 4855img [01:46, 210.29img/s]
CommunityForensics: 4879img [01:46, 163.18img/s]
CommunityForensics: 4899img [01:46, 112.74img/s]
CommunityForensics: 4915img [01:47, 104.10img/s]
CommunityForensics: 4929img [01:47, 106.88img/s]
CommunityForensics: 4946img [01:47, 115.60img/s]
CommunityForensics: 4961img [01:47, 121.02img/s]
CommunityForensics: 4976img [01:47, 119.96img/s]
CommunityForensics: 4992img [01:47, 129.01img/s]
CommunityForensics: 5024img [01:47, 170.11img/s]
CommunityForensics: 5043img [01:48, 136.68img/s]
CommunityForensics: 5061img [01:48, 144.46img/s]
CommunityForensics: 5077img [01:48, 146.21img/s]
CommunityForensics: 5100img [01:48, 165.45img/s]
CommunityForensics: 5125img [01:48, 187.10img/s]
CommunityForensics: 5147img [01:48, 194.27img/s]
CommunityForensics: 5168img [01:48, 173.84img/s]
CommunityForensics: 5210img [01:48, 237.29img/s]
CommunityForensics: 5237img [01:49, 208.60img/s]
CommunityForensics: 5260img [01:49, 205.48img/s]
CommunityForensics: 5282img [01:49, 203.66img/s]
CommunityForensics: 5306img [01:49, 212.80img/s]
CommunityForensics: 5329img [01:49, 141.29img/s]
CommunityForensics: 5347img [01:49, 140.85img/s]
CommunityForensics: 5369img [01:49, 156.93img/s]
CommunityForensics: 5398img [01:49, 186.95img/s]
CommunityForensics: 5421img [01:50, 197.08img/s]
CommunityForensics: 5443img [01:50, 176.82img/s]
CommunityForensics: 5463img [01:50, 168.43img/s]
CommunityForensics: 5488img [01:50, 186.21img/s]
CommunityForensics: 5518img [01:50, 206.31img/s]
CommunityForensics: 5549img [01:50, 232.11img/s]
CommunityForensics: 5578img [01:50, 247.37img/s]
CommunityForensics: 5610img [01:50, 265.95img/s]
CommunityForensics: 5638img [01:50, 263.69img/s]
CommunityForensics: 5675img [01:51, 292.73img/s]
CommunityForensics: 5724img [01:51, 348.57img/s]
CommunityForensics: 5773img [01:51, 389.44img/s]
CommunityForensics: 5819img [01:51, 409.95img/s]
CommunityForensics: 5861img [01:51, 331.05img/s]
CommunityForensics: 5897img [01:51, 335.32img/s]
CommunityForensics: 5936img [01:51, 349.17img/s]
CommunityForensics: 5975img [01:51, 356.55img/s]
CommunityForensics: 5986img [02:05, 356.55img/s]
CommunityForensics: 5987img [02:47,  1.87img/s] 
CommunityForensics: 5988img [02:47,  1.89img/s]
CommunityForensics: 6014img [02:48,  2.75img/s]
CommunityForensics: 6034img [02:48,  3.67img/s]
CommunityForensics: 6049img [02:49,  4.61img/s]
CommunityForensics: 6061img [02:49,  5.68img/s]
CommunityForensics: 6071img [02:49,  6.87img/s]
CommunityForensics: 6080img [02:49,  8.35img/s]
CommunityForensics: 6088img [02:50, 10.04img/s]
CommunityForensics: 6095img [02:50, 12.04img/s]
CommunityForensics: 6102img [02:50, 14.03img/s]
CommunityForensics: 6108img [02:50, 16.28img/s]
CommunityForensics: 6114img [02:50, 19.55img/s]
CommunityForensics: 6120img [02:50, 22.62img/s]
CommunityForensics: 6126img [02:50, 27.06img/s]
CommunityForensics: 6132img [02:51, 29.30img/s]
CommunityForensics: 6142img [02:51, 38.67img/s]
CommunityForensics: 6148img [02:51, 38.86img/s]
CommunityForensics: 6154img [02:51, 37.98img/s]
CommunityForensics: 6159img [02:51, 38.02img/s]
CommunityForensics: 6164img [02:51, 39.47img/s]
CommunityForensics: 6169img [02:51, 41.31img/s]
CommunityForensics: 6174img [02:51, 40.22img/s]
CommunityForensics: 6180img [02:52, 39.07img/s]
CommunityForensics: 6185img [02:52, 36.81img/s]
CommunityForensics: 6191img [02:52, 41.24img/s]
CommunityForensics: 6196img [02:52, 42.07img/s]
CommunityForensics: 6201img [02:52, 41.49img/s]
CommunityForensics: 6206img [02:52, 42.82img/s]
CommunityForensics: 6211img [02:52, 37.03img/s]
CommunityForensics: 6219img [02:53, 45.59img/s]
CommunityForensics: 6224img [02:53, 45.97img/s]
CommunityForensics: 6230img [02:53, 46.38img/s]
CommunityForensics: 6237img [02:53, 48.30img/s]
CommunityForensics: 6242img [02:53, 45.01img/s]
CommunityForensics: 6248img [02:53, 48.43img/s]
CommunityForensics: 6253img [02:53, 45.82img/s]
CommunityForensics: 6258img [02:53, 41.44img/s]
CommunityForensics: 6265img [02:54, 47.14img/s]
CommunityForensics: 6270img [02:54, 45.84img/s]
CommunityForensics: 6277img [02:54, 50.34img/s]
CommunityForensics: 6284img [02:54, 55.19img/s]
CommunityForensics: 6290img [02:54, 51.45img/s]
CommunityForensics: 6296img [02:54, 30.76img/s]
CommunityForensics: 6301img [02:55, 31.59img/s]
CommunityForensics: 6306img [02:55, 34.47img/s]
CommunityForensics: 6312img [02:55, 38.85img/s]
CommunityForensics: 6317img [02:55, 39.70img/s]
CommunityForensics: 6322img [02:55, 41.79img/s]
CommunityForensics: 6327img [02:55, 40.94img/s]
CommunityForensics: 6332img [02:55, 40.21img/s]
CommunityForensics: 6337img [02:55, 34.06img/s]
CommunityForensics: 6343img [02:56, 39.68img/s]
CommunityForensics: 6349img [02:56, 42.71img/s]
CommunityForensics: 6355img [02:56, 44.88img/s]
CommunityForensics: 6360img [02:56, 43.81img/s]
CommunityForensics: 6366img [02:56, 47.17img/s]
CommunityForensics: 6371img [02:56, 44.73img/s]
CommunityForensics: 6376img [02:56, 38.94img/s]
CommunityForensics: 6381img [02:56, 35.24img/s]
CommunityForensics: 6385img [02:57, 35.26img/s]
CommunityForensics: 6393img [02:57, 44.35img/s]
CommunityForensics: 6398img [02:57, 43.68img/s]
CommunityForensics: 6403img [02:57, 43.85img/s]
CommunityForensics: 6412img [02:57, 53.04img/s]
CommunityForensics: 6418img [02:57, 51.13img/s]
CommunityForensics: 6424img [02:57, 45.86img/s]
CommunityForensics: 6429img [02:57, 43.68img/s]
CommunityForensics: 6436img [02:58, 48.46img/s]
CommunityForensics: 6441img [02:58, 44.01img/s]
CommunityForensics: 6446img [02:58, 44.79img/s]
CommunityForensics: 6452img [02:58, 47.35img/s]
CommunityForensics: 6458img [02:58, 50.36img/s]
CommunityForensics: 6465img [02:58, 55.58img/s]
CommunityForensics: 6471img [02:58, 53.41img/s]
CommunityForensics: 6477img [02:58, 54.67img/s]
CommunityForensics: 6485img [02:58, 60.73img/s]
CommunityForensics: 6492img [02:59, 62.09img/s]
CommunityForensics: 6499img [02:59, 53.38img/s]
CommunityForensics: 6505img [02:59, 49.30img/s]
CommunityForensics: 6511img [02:59, 48.11img/s]
CommunityForensics: 6516img [02:59, 47.20img/s]
CommunityForensics: 6527img [02:59, 61.99img/s]
CommunityForensics: 6534img [02:59, 57.48img/s]
CommunityForensics: 6540img [03:00, 55.46img/s]
CommunityForensics: 6546img [03:00, 50.28img/s]
CommunityForensics: 6554img [03:00, 55.62img/s]
CommunityForensics: 6561img [03:00, 59.22img/s]
CommunityForensics: 6570img [03:00, 64.18img/s]
CommunityForensics: 6579img [03:00, 67.63img/s]
CommunityForensics: 6586img [03:00, 51.07img/s]
CommunityForensics: 6592img [03:01, 48.51img/s]
CommunityForensics: 6598img [03:01, 48.00img/s]
CommunityForensics: 6604img [03:01, 36.30img/s]
CommunityForensics: 6609img [03:01, 35.99img/s]
CommunityForensics: 6617img [03:01, 44.57img/s]
CommunityForensics: 6624img [03:01, 48.59img/s]
CommunityForensics: 6630img [03:01, 49.98img/s]
CommunityForensics: 6636img [03:02, 44.96img/s]
CommunityForensics: 6642img [03:02, 46.04img/s]
CommunityForensics: 6647img [03:02, 44.08img/s]
CommunityForensics: 6654img [03:02, 49.97img/s]
CommunityForensics: 6660img [03:02, 46.19img/s]
CommunityForensics: 6668img [03:02, 53.30img/s]
CommunityForensics: 6675img [03:02, 55.08img/s]
CommunityForensics: 6681img [03:02, 47.49img/s]
CommunityForensics: 6687img [03:03, 43.63img/s]
CommunityForensics: 6692img [03:03, 42.20img/s]
CommunityForensics: 6699img [03:03, 47.75img/s]
CommunityForensics: 6743img [03:03, 143.11img/s]
CommunityForensics: 6779img [03:03, 199.16img/s]
CommunityForensics: 6831img [03:03, 284.98img/s]
CommunityForensics: 6881img [03:03, 344.04img/s]
CommunityForensics: 6924img [03:03, 366.64img/s]
CommunityForensics: 6963img [03:03, 350.90img/s]
CommunityForensics: 7005img [03:04, 369.52img/s]
CommunityForensics: 7054img [03:04, 402.41img/s]
CommunityForensics: 7096img [03:04, 399.93img/s]
CommunityForensics: 7137img [03:04, 383.47img/s]
CommunityForensics: 7176img [03:04, 383.90img/s]
CommunityForensics: 7217img [03:04, 391.21img/s]
CommunityForensics: 7257img [03:04, 389.60img/s]
CommunityForensics: 7309img [03:04, 426.87img/s]
CommunityForensics: 7361img [03:04, 453.29img/s]
CommunityForensics: 7407img [03:05, 449.09img/s]
CommunityForensics: 7454img [03:05, 454.22img/s]
CommunityForensics: 7505img [03:05, 464.82img/s]
CommunityForensics: 7561img [03:05, 492.53img/s]
CommunityForensics: 7638img [03:05, 573.72img/s]
CommunityForensics: 7741img [03:05, 701.27img/s]
CommunityForensics: 7836img [03:05, 731.50img/s]
CommunityForensics: 7948img [03:05, 818.89img/s]
CommunityForensics: 8050img [03:05, 873.82img/s]
CommunityForensics: 8149img [03:05, 905.89img/s]
CommunityForensics: 8248img [03:06, 927.44img/s]
CommunityForensics: 8341img [03:06, 926.42img/s]
CommunityForensics: 8463img [03:06, 1010.63img/s]
CommunityForensics: 8589img [03:06, 1082.96img/s]
CommunityForensics: 8706img [03:06, 1107.81img/s]
CommunityForensics: 8817img [03:06, 1055.04img/s]
CommunityForensics: 8924img [03:06, 1024.56img/s]
CommunityForensics: 8979img [03:21, 1024.56img/s]
CommunityForensics: 8980img [07:20,  1.23img/s]  
CommunityForensics: 8995img [07:20,  1.32img/s]
CommunityForensics: 9072img [07:21,  1.93img/s]
CommunityForensics: 9132img [07:21,  2.60img/s]
CommunityForensics: 9180img [07:21,  3.37img/s]
CommunityForensics: 9219img [07:21,  4.25img/s]
CommunityForensics: 9252img [07:22,  5.30img/s]
CommunityForensics: 9280img [07:22,  6.57img/s]
CommunityForensics: 9306img [07:22,  8.21img/s]
CommunityForensics: 9329img [07:22, 10.25img/s]
CommunityForensics: 9351img [07:22, 12.90img/s]
CommunityForensics: 9373img [07:22, 16.66img/s]
CommunityForensics: 9394img [07:22, 21.49img/s]
CommunityForensics: 9415img [07:22, 27.93img/s]
CommunityForensics: 9435img [07:23, 36.00img/s]
CommunityForensics: 9455img [07:23, 46.24img/s]
CommunityForensics: 9475img [07:23, 57.43img/s]
CommunityForensics: 9496img [07:23, 72.64img/s]
CommunityForensics: 9515img [07:23, 87.01img/s]
CommunityForensics: 9534img [07:23, 101.64img/s]
CommunityForensics: 9553img [07:23, 114.51img/s]
CommunityForensics: 9571img [07:23, 120.46img/s]
CommunityForensics: 9590img [07:24, 134.47img/s]
CommunityForensics: 9608img [07:24, 142.17img/s]
CommunityForensics: 9626img [07:24, 149.38img/s]
CommunityForensics: 9644img [07:24, 156.21img/s]
CommunityForensics: 9662img [07:24, 156.48img/s]
CommunityForensics: 9683img [07:24, 168.22img/s]
CommunityForensics: 9702img [07:24, 169.85img/s]
CommunityForensics: 9720img [07:24, 167.74img/s]
CommunityForensics: 9738img [07:24, 156.11img/s]
CommunityForensics: 9755img [07:25, 116.69img/s]
CommunityForensics: 9769img [07:25, 121.46img/s]
CommunityForensics: 9783img [07:25, 120.56img/s]
CommunityForensics: 9799img [07:25, 128.50img/s]
CommunityForensics: 9820img [07:25, 147.91img/s]
CommunityForensics: 9836img [07:25, 150.75img/s]
CommunityForensics: 9852img [07:25, 152.32img/s]
CommunityForensics: 9868img [07:25, 147.23img/s]
CommunityForensics: 9887img [07:25, 155.73img/s]
CommunityForensics: 9903img [07:26, 153.59img/s]
CommunityForensics: 9921img [07:26, 158.69img/s]
CommunityForensics: 9938img [07:26, 154.34img/s]
CommunityForensics: 9956img [07:26, 161.10img/s]
CommunityForensics: 9973img [07:26, 152.46img/s]
CommunityForensics: 9989img [07:26, 146.15img/s]
CommunityForensics: 10005img [07:26, 140.50img/s]
CommunityForensics: 10020img [07:26, 116.25img/s]
CommunityForensics: 10033img [07:27, 113.00img/s]
CommunityForensics: 10045img [07:27, 109.38img/s]
CommunityForensics: 10057img [07:27, 99.75img/s] 
CommunityForensics: 10068img [07:27, 97.13img/s]
CommunityForensics: 10078img [07:27, 90.64img/s]
CommunityForensics: 10088img [07:27, 85.86img/s]
CommunityForensics: 10097img [07:27, 82.44img/s]
CommunityForensics: 10108img [07:27, 88.16img/s]
CommunityForensics: 10117img [07:28, 88.62img/s]
CommunityForensics: 10126img [07:28, 87.24img/s]
CommunityForensics: 10138img [07:28, 91.47img/s]
CommunityForensics: 10148img [07:28, 91.11img/s]
CommunityForensics: 10158img [07:28, 88.45img/s]
CommunityForensics: 10169img [07:28, 93.06img/s]
CommunityForensics: 10179img [07:28, 93.64img/s]
CommunityForensics: 10189img [07:28, 87.56img/s]
CommunityForensics: 10198img [07:28, 86.62img/s]
CommunityForensics: 10208img [07:29, 89.65img/s]
CommunityForensics: 10218img [07:29, 82.99img/s]
CommunityForensics: 10229img [07:29, 88.04img/s]
CommunityForensics: 10239img [07:29, 89.98img/s]
CommunityForensics: 10249img [07:29, 91.62img/s]
CommunityForensics: 10261img [07:29, 98.12img/s]
CommunityForensics: 10273img [07:29, 99.34img/s]
CommunityForensics: 10283img [07:29, 93.58img/s]
CommunityForensics: 10293img [07:30, 89.97img/s]
CommunityForensics: 10303img [07:30, 89.03img/s]
CommunityForensics: 10315img [07:30, 95.33img/s]
CommunityForensics: 10326img [07:30, 97.33img/s]
CommunityForensics: 10336img [07:30, 87.60img/s]
CommunityForensics: 10348img [07:30, 94.70img/s]
CommunityForensics: 10358img [07:30, 61.54img/s]
CommunityForensics: 10366img [07:31, 51.54img/s]
CommunityForensics: 10373img [07:31, 53.59img/s]
CommunityForensics: 10382img [07:31, 60.29img/s]
CommunityForensics: 10391img [07:31, 66.68img/s]
CommunityForensics: 10399img [07:31, 67.71img/s]
CommunityForensics: 10407img [07:31, 70.50img/s]
CommunityForensics: 10416img [07:31, 75.16img/s]
CommunityForensics: 10426img [07:31, 76.38img/s]
CommunityForensics: 10436img [07:32, 79.23img/s]
CommunityForensics: 10445img [07:32, 81.97img/s]
CommunityForensics: 10454img [07:32, 78.18img/s]
CommunityForensics: 10462img [07:32, 77.00img/s]
CommunityForensics: 10470img [07:32, 73.76img/s]
CommunityForensics: 10480img [07:32, 78.85img/s]
CommunityForensics: 10491img [07:32, 87.32img/s]
CommunityForensics: 10502img [07:32, 92.86img/s]
CommunityForensics: 10512img [07:32, 89.89img/s]
CommunityForensics: 10522img [07:33, 87.06img/s]
CommunityForensics: 10531img [07:33, 86.92img/s]
CommunityForensics: 10543img [07:33, 85.19img/s]
CommunityForensics: 10566img [07:33, 121.78img/s]
CommunityForensics: 10590img [07:33, 153.15img/s]
CommunityForensics: 10616img [07:33, 180.60img/s]
CommunityForensics: 10640img [07:33, 195.78img/s]
CommunityForensics: 10662img [07:33, 200.91img/s]
CommunityForensics: 10685img [07:33, 206.32img/s]
CommunityForensics: 10709img [07:34, 213.17img/s]
CommunityForensics: 10737img [07:34, 229.24img/s]
CommunityForensics: 10761img [07:34, 222.27img/s]
CommunityForensics: 10786img [07:34, 227.40img/s]
CommunityForensics: 10812img [07:34, 235.14img/s]
CommunityForensics: 10841img [07:34, 248.57img/s]
CommunityForensics: 10866img [07:34, 241.74img/s]
CommunityForensics: 10891img [07:34, 235.11img/s]
CommunityForensics: 10915img [07:34, 234.74img/s]
CommunityForensics: 10939img [07:34, 231.51img/s]
CommunityForensics: 10963img [07:35, 227.23img/s]
CommunityForensics: 10991img [07:35, 239.33img/s]
CommunityForensics: 11016img [07:35, 239.78img/s]
CommunityForensics: 11041img [07:35, 232.48img/s]
CommunityForensics: 11066img [07:35, 235.91img/s]
CommunityForensics: 11093img [07:35, 242.05img/s]
CommunityForensics: 11118img [07:35, 230.41img/s]
CommunityForensics: 11143img [07:35, 234.05img/s]
CommunityForensics: 11169img [07:35, 240.75img/s]
CommunityForensics: 11194img [07:36, 237.22img/s]
CommunityForensics: 11218img [07:36, 233.98img/s]
CommunityForensics: 11243img [07:36, 233.92img/s]
CommunityForensics: 11270img [07:36, 242.26img/s]
CommunityForensics: 11297img [07:36, 249.27img/s]
CommunityForensics: 11322img [07:36, 231.76img/s]
CommunityForensics: 11346img [07:36, 231.97img/s]
CommunityForensics: 11370img [07:36, 227.25img/s]
CommunityForensics: 11396img [07:36, 233.16img/s]
CommunityForensics: 11420img [07:37, 230.02img/s]
CommunityForensics: 11444img [07:37, 220.85img/s]
CommunityForensics: 11467img [07:37, 214.92img/s]
CommunityForensics: 11489img [07:37, 189.38img/s]
CommunityForensics: 11509img [07:37, 180.56img/s]
CommunityForensics: 11528img [07:37, 161.35img/s]
CommunityForensics: 11546img [07:37, 165.20img/s]
CommunityForensics: 11563img [07:37, 156.32img/s]
CommunityForensics: 11580img [07:38, 158.82img/s]
CommunityForensics: 11597img [07:38, 149.76img/s]
CommunityForensics: 11613img [07:38, 134.02img/s]
CommunityForensics: 11627img [07:38, 113.74img/s]
CommunityForensics: 11643img [07:38, 123.27img/s]
CommunityForensics: 11657img [07:38, 122.14img/s]
CommunityForensics: 11670img [07:38, 118.02img/s]
CommunityForensics: 11683img [07:38, 111.00img/s]
CommunityForensics: 11698img [07:39, 119.47img/s]
CommunityForensics: 11711img [07:39, 119.53img/s]
CommunityForensics: 11724img [07:39, 122.29img/s]
CommunityForensics: 11739img [07:39, 123.38img/s]
CommunityForensics: 11753img [07:39, 127.28img/s]
CommunityForensics: 11766img [07:39, 124.61img/s]
CommunityForensics: 11779img [07:39, 119.40img/s]
CommunityForensics: 11807img [07:39, 163.43img/s]
CommunityForensics: 11864img [07:39, 277.75img/s]
CommunityForensics: 11922img [07:40, 364.27img/s]
CommunityForensics: 11971img [07:50, 364.27img/s]
CommunityForensics: 11972img [11:30,  1.66s/img] 
CommunityForensics: 11987img [11:30,  1.44s/img]
CommunityForensics: 12018img [11:30,  1.03s/img]
CommunityForensics: 12046img [11:31,  1.32img/s]
CommunityForensics: 12070img [11:31,  1.74img/s]
CommunityForensics: 12093img [11:31,  2.33img/s]
CommunityForensics: 12115img [11:31,  3.11img/s]
CommunityForensics: 12136img [11:31,  4.18img/s]
CommunityForensics: 12156img [11:31,  5.60img/s]
CommunityForensics: 12179img [11:31,  7.91img/s]
CommunityForensics: 12201img [11:31, 10.97img/s]
CommunityForensics: 12221img [11:31, 14.75img/s]
CommunityForensics: 12245img [11:32, 21.00img/s]
CommunityForensics: 12265img [11:32, 27.58img/s]
CommunityForensics: 12284img [11:32, 34.52img/s]
CommunityForensics: 12301img [11:32, 42.40img/s]
CommunityForensics: 12323img [11:32, 57.36img/s]
CommunityForensics: 12341img [11:32, 70.36img/s]
CommunityForensics: 12363img [11:32, 89.97img/s]
CommunityForensics: 12382img [11:32, 105.53img/s]
CommunityForensics: 12401img [11:33, 115.03img/s]
